id_user,id_makanan,rekomendasi
8,1,allowed
8,2,allowed
8,3,allowed
8,4,allowed
8,5,allowed
8,6,allowed
8,7,allowed
8,8,allowed
8,9,allowed
8,10,allowed
8,11,allowed
8,12,not allowed
8,13,allowed
8,14,allowed
8,15,allowed
8,16,allowed
8,17,allowed
8,18,allowed
8,19,not allowed
8,20,allowed
8,21,allowed
8,22,allowed
8,23,allowed
8,24,allowed
8,25,allowed
8,26,allowed
8,27,allowed
8,28,allowed
8,29,allowed
8,30,allowed
8,31,allowed
8,32,allowed
8,33,allowed
8,34,allowed
8,35,allowed
8,36,allowed
8,37,allowed
8,38,allowed
8,39,allowed
8,40,allowed
8,41,allowed
8,42,allowed
8,43,allowed
8,44,allowed
8,45,allowed
8,46,not allowed
8,47,allowed
8,48,allowed
8,49,allowed
8,50,allowed
8,51,allowed
8,52,allowed
8,53,not allowed
8,54,allowed
8,55,allowed
8,56,not allowed
8,57,not allowed
8,58,allowed
8,59,not allowed
8,60,allowed
8,61,not allowed
8,62,allowed
8,63,allowed
8,64,allowed
8,65,allowed
8,66,allowed
8,67,allowed
8,68,allowed
8,69,allowed
8,70,allowed
8,71,allowed
8,72,allowed
8,73,allowed
8,74,allowed
8,75,allowed
8,76,allowed
8,77,not allowed
8,78,not allowed
8,79,not allowed
8,80,allowed
8,81,not allowed
8,82,allowed
8,83,allowed
8,84,allowed
8,85,allowed
8,86,allowed
8,87,not allowed
8,88,allowed
8,89,allowed
8,90,allowed
8,91,allowed
8,92,allowed
8,93,not allowed
8,94,not allowed
8,95,not allowed
8,96,allowed
8,97,not allowed
8,98,not allowed
8,99,allowed
8,100,not allowed
9,1,allowed
9,2,allowed
9,3,allowed
9,4,allowed
9,5,allowed
9,6,allowed
9,7,allowed
9,8,allowed
9,9,allowed
9,10,allowed
9,11,allowed
9,12,not allowed
9,13,allowed
9,14,allowed
9,15,allowed
9,16,allowed
9,17,allowed
9,18,allowed
9,19,not allowed
9,20,allowed
9,21,allowed
9,22,allowed
9,23,allowed
9,24,allowed
9,25,allowed
9,26,allowed
9,27,allowed
9,28,allowed
9,29,allowed
9,30,allowed
9,31,allowed
9,32,allowed
9,33,allowed
9,34,allowed
9,35,allowed
9,36,allowed
9,37,allowed
9,38,allowed
9,39,allowed
9,40,allowed
9,41,allowed
9,42,allowed
9,43,allowed
9,44,allowed
9,45,allowed
9,46,not allowed
9,47,allowed
9,48,allowed
9,49,allowed
9,50,allowed
9,51,allowed
9,52,allowed
9,53,not allowed
9,54,allowed
9,55,allowed
9,56,not allowed
9,57,not allowed
9,58,allowed
9,59,not allowed
9,60,allowed
9,61,not allowed
9,62,allowed
9,63,allowed
9,64,allowed
9,65,allowed
9,66,allowed
9,67,allowed
9,68,allowed
9,69,allowed
9,70,allowed
9,71,allowed
9,72,allowed
9,73,allowed
9,74,allowed
9,75,allowed
9,76,allowed
9,77,not allowed
9,78,not allowed
